일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1939년 7월,27.6,74,87.6,2.4,6
1939년 8월,27.5,63,49,2.8,6.3
1939년 9월,21,71,45.3,2.2,4.9
1939년 10월,14.3,68,69.3,2.3,4
1939년 11월,5.9,69,61.1,2.4,4.4
1939년 12월,-0.9,64,12.6,2.3,3.5
1940년 1월,-7.4,53,7.9,2.9,2.2
1940년 2월,-2.3,61,45.5,2.8,3.5
1940년 3월,3.7,63,16.8,3.1,3.4
1940년 4월,9.7,64,60.9,3.5,6
1940년 5월,16.3,64,80.3,3.3,4.5
1940년 6월,20.1,73,84.2,2.5,6.5
1940년 7월,23.4,89,1364.2,2.5,8.8
1940년 8월,24.3,78,69.5,2.5,7.9
1940년 9월,19.9,71,311.7,2.8,5.3
1940년 10월,14.7,68,20.4,2,3.8
1940년 11월,6.8,67,36.3,2.7,4.4
1940년 12월,-0.2,68,47.4,2.7,4.1
1941년 1월,-3.8,69,24.1,2.4,4.4
1941년 2월,-2.4,66,8.7,2.1,4.8
1941년 3월,3.8,65,82.9,3.5,4.9
1941년 4월,10,63,49.5,3.7,4.7
1941년 5월,16.7,66,180.7,2.9,6
1941년 6월,21.2,76,139.7,2.3,6.9
1941년 7월,23.7,76,144.3,2.4,6.8
1941년 8월,23.8,86,255.7,2.8,8
1941년 9월,19.7,71,30.1,2,4.8
1941년 10월,12.9,66,67.3,2.7,4.2
1941년 11월,7.7,70,67.5,2.2,5.3
1941년 12월,0.4,68,13.2,2.2,4.8
1942년 1월,-6.4,63,10.4,2.8,2.9
1942년 2월,-3.5,56,9.5,3,3.9
1942년 3월,5.9,69,112.4,3.1,6.3
1942년 4월,9.9,61,64.3,3.8,5.2
1942년 5월,15.3,63,27.2,2.8,7.4
1942년 6월,22,65,61.3,2.4,5.5
1942년 7월,26,81,154.5,2.4,7.1
1942년 8월,25.4,79,338.4,2.4,7
1942년 9월,20,74,277,2,5.5
1942년 10월,12.5,69,35.8,2,4
1942년 11월,4.7,63,32.3,2.6,3.1
1942년 12월,-1.2,64,7.9,2.2,4.2
1943년 1월,-6.6,56,2.4,2.6,2.1
1943년 2월,-2.4,63,10.9,2.6,3.4
1943년 3월,5.4,63,41.2,3,5.3
1943년 4월,10.6,64,29.9,3.6,5.3
1943년 5월,16.7,73,46.3,2.7,6.2
1943년 6월,21.5,74,107.9,2.2,5.5
1943년 7월,26,71,125,2.4,6.5
1943년 8월,27.8,69,36.8,2.3,6.3
1943년 9월,20.9,70,113.6,1.8,6.8
1943년 10월,13.8,70,85.1,1.6,4.6
1943년 11월,6.1,66,30.8,2.4,4.2
1943년 12월,0,62,13,2.6,4.1
1944년 1월,-4.3,59,4,2.1,2.5
1944년 2월,-2.4,60,12.4,2.9,4.2
1944년 3월,3.2,67,28.4,2.7,5.7
1944년 4월,9.6,66,93.6,3.2,5.5
1944년 5월,15.9,71,73.2,2.5,7
1944년 6월,21.4,73,125.3,2.6,6.6
1944년 7월,25.3,83,273.2,2.5,8
1944년 8월,25.5,77,214.2,2.2,6.3
1944년 9월,20.7,79,163,2,6.4
1944년 10월,13.5,63,19.9,1.8,4.1
1944년 11월,7.8,68,64.8,2.7,5.7
1944년 12월,-5.7,60,17.1,2.1,4.1
1945년 1월,-7.8,52,2.2,2.1,2.4
1945년 2월,-4.9,52,3.2,2.4,4.1
1945년 3월,2.3,69,121.9,3.1,5.1
1945년 4월,11,61,39.4,2.9,4.7
1945년 5월,13.6,73,109.4,3,6.8
1945년 6월,20.1,78,317.7,2.5,8
1945년 7월,23.2,81,479.6,2.2,8.1
1945년 8월,25.5,82,208.8,2.1,6.4
1945년 9월,21.3,81,183.1,1.9,6.9
1945년 10월,13.5,79,63.3,2,3.8
1945년 11월,8.4,81,3.5,2.1,3.8
1945년 12월,-1.7,68,29.6,2.3,4.3
1946년 1월,-3.2,73,25.9,1.8,5.1
1946년 2월,-0.7,64,12.6,2.6,4.3
1946년 3월,2.5,61,60.9,2.9,5.5
1946년 4월,10.9,64,36.3,3,5.4
1946년 5월,16,66,67.2,2.6,5.6
1946년 6월,20.9,82,638.9,2.4,7.5
1946년 7월,25.6,84,177.9,2.4,7.1
1946년 8월,25.7,82,260.4,2.1,6.4
1946년 9월,19.9,76,128.6,1.9,4.8
1946년 10월,13.8,76,92.2,1.7,4.3
1946년 11월,8.8,74,1.5,2.3,3.6
1946년 12월,-4.3,69,17,2.1,3.9
1947년 1월,-3.9,69,25.2,2.1,4.4
1947년 2월,-5.3,67,4.4,2.4,2.6
1947년 3월,1.5,66,56.5,3.2,4.9
1947년 4월,10.5,62,80.2,3.1,4.6
1947년 5월,15.9,65,44,2.6,5.9
1947년 6월,18.7,77,118.6,2.4,7.3
1947년 7월,22.9,87,610.1,2.7,8.8
1947년 8월,25.1,85,320.5,2.2,7.5
1947년 9월,19.6,76,121.9,2,6.1
1947년 10월,11.8,64,10.6,2.2,3.7
1947년 11월,3.5,62,30.3,2.3,4.4
1947년 12월,-5.4,59,74.1,2.7,4.3
1948년 1월,-4.5,68,82.9,2.1,4.3
1948년 2월,-1.4,72,12.3,1.7,3.2
1948년 3월,4.7,63,51.7,2.8,4.9
1948년 4월,12.5,63,36.2,2.6,4.6
1948년 5월,16,63,42.9,2.6,4.7
1948년 6월,20.9,75,353.7,2.4,6.2
1948년 7월,24.3,85,323.1,2.4,8.3
1948년 8월,25.8,81,309.2,1.5,6
1948년 9월,20.2,77,141.7,1.8,5
1948년 10월,13.3,64,54.4,1.9,4
1948년 11월,5.1,67,15.6,1.8,2.9
1948년 12월,3.8,79,49.6,2.3,5.2
1949년 1월,-3,75,25.6,2.4,4.8
1949년 2월,1.3,71,20.8,2.4,3.6
1949년 3월,3.4,70,15.6,3.2,4.5
1949년 4월,9.9,70,37.9,2.7,5.2
1949년 5월,16.4,71,87.6,2.7,5.8
1949년 6월,20.5,64,29.3,2.7,6.9
1949년 7월,24.8,73,141.6,2.2,6.7
1949년 8월,26.1,74,96,2.2,4.8
1949년 9월,20.8,72,102.7,1.9,6.3
1949년 10월,13.9,63,41.7,1.9,2.9
1949년 11월,7,64,14.3,2,4.2
1949년 12월,-1.3,62,10.4,1.9,4.3
1950년 1월,-1.3,71,96.9,2.5,5.3
1950년 2월,-0.4,64,11.4,2.3,4.4
1950년 3월,4.6,57,9,3.1,4
1950년 4월,13.1,63,41.5,2.3,5.1
1950년 5월,17.5,66,37.4,2.2,4.4
1950년 6월,20.8,72,110.1,2,6.5
1950년 7월,26,77,223.3,2.6,6.2
1950년 8월,26.5,71,85.6,2.1,3.8
1950년 9월,,,117.4,,
1950년 10월,,,65.6,,
1951년 12월,,,48.3,,
1952년 1월,,,6.4,,
1952년 2월,,,25.9,,
1952년 3월,,,47.1,,
1952년 4월,,,123,,
1952년 6월,,,177.8,,
1952년 7월,,,316,,
1952년 9월,,,223.7,,
1952년 10월,,,101.1,,
1952년 11월,,,34.8,,
1952년 12월,,,18.1,,
1953년 1월,,,2.6,,
1953년 2월,,,4.1,,
1953년 3월,,,112.1,,
1953년 4월,,,37.4,,
1953년 5월,,,86.4,,
1953년 6월,,,198.6,,
1953년 7월,,,360.9,,
1953년 8월,,,403.3,,
1953년 9월,,,8.7,,
1953년 10월,,,84,,
1953년 11월,,,43.8,,
1953년 12월,0.6,71,30.3,1.8,4.4
1954년 1월,-1.5,72,14,2.1,4.5
1954년 2월,0.4,74,111.3,2.6,4.6
1954년 3월,3.1,65,4.9,3,3.5
1954년 4월,11.8,60,59.4,3,4.3
1954년 5월,16.6,67,61.5,2.6,5.7
1954년 6월,19.6,75,229.9,2.8,6.9
1954년 7월,21.9,85,537.5,2.9,8.1
1954년 8월,25.7,83,209,2.3,7
1954년 9월,20.3,79,53.2,2.3,7.2
1954년 10월,12.5,70,45.1,2,3.7
1954년 11월,9.5,74,19.6,2,4.3
1954년 12월,-2.7,64,40.4,2.4,3.1
1955년 1월,-5.6,67,12.3,2.5,3.5
1955년 2월,-0.1,63,9.6,2.7,4.9
1955년 3월,4.4,64,15.7,2.8,6.3
1955년 4월,11.1,67,55,3.4,6.2
1955년 5월,15.9,69,80.7,2.6,5.8
1955년 6월,21.4,74,316.5,2.4,6.6
1955년 7월,24.5,87,397.5,2.6,8.4
1955년 8월,26.2,71,60,2.1,4.6
1955년 9월,20.7,71,187.9,2,5.4
1955년 10월,12.6,70,26.7,2.2,4.2
1955년 11월,5.9,71,56.2,2.4,4.8
1955년 12월,0.6,67,12.6,2.2,4.8
1956년 1월,-3.9,64,6.3,2.5,4.4
1956년 2월,-3.4,61,26.6,2.9,3.2
1956년 3월,3.7,74,139.3,3,6.5
1956년 4월,9.5,68,65.9,2.9,6
1956년 5월,15.1,69,72.4,2.9,5.5
